Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
53.0,Travel_Rarely,1219.0,Sales,2.0,4,Life Sciences,1.0,Female,78.0,2.0,4.0,Manager,4.0,Married,15427.0,22021.0,2.0,Y,No,16.0,3.0,3.0,80.0,0,31.0,3.0,3.0,25.0,8.0,3.0,7.0,No
38.0,Travel_Rarely,371.0,Research & Development,2.0,3,Life Sciences,4.0,Male,45.0,3.0,1.0,Research Scientist,4.0,Single,3944.0,4306.0,5.0,Y,Yes,11.0,3.0,3.0,80.0,0,6.0,3.0,3.0,3.0,2.0,1.0,2.0,No
24.0,Non-Travel,673.0,Research & Development,11.0,2,Other,1.0,Female,96.0,4.0,2.0,Manufacturing Director,3.0,Divorced,4011.0,8232.0,0.0,Y,No,18.0,3.0,4.0,80.0,1,5.0,5.0,2.0,4.0,2.0,1.0,3.0,No
36.0,Travel_Rarely,1218.0,Sales,9.0,4,Life Sciences,3.0,Male,82.0,2.0,1.0,Sales Representative,1.0,Single,3407.0,6986.0,7.0,Y,No,23.0,4.0,2.0,80.0,0,10.0,4.0,3.0,5.0,3.0,0.0,3.0,Yes
34.0,Travel_Rarely,419.0,Research & Development,7.0,4,Life Sciences,1.0,Female,53.0,3.0,3.0,Research Director,2.0,Single,11994.0,21293.0,0.0,Y,No,11.0,3.0,3.0,80.0,0,13.0,4.0,3.0,12.0,6.0,2.0,11.0,No
21.0,Travel_Rarely,391.0,Research & Development,15.0,2,Life Sciences,3.0,Male,96.0,3.0,1.0,Research Scientist,4.0,Single,1232.0,19281.0,1.0,Y,No,14.0,3.0,4.0,80.0,0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,No
34.0,Travel_Rarely,699.0,Research & Development,6.0,1,Medical,2.0,Male,83.0,3.0,1.0,Research Scientist,1.0,Single,2960.0,17102.0,2.0,Y,No,11.0,3.0,3.0,80.0,0,8.0,2.0,3.0,4.0,2.0,1.0,3.0,Yes
53.0,Travel_Rarely,1282.0,Research & Development,5.0,3,Other,3.0,Female,58.0,3.0,5.0,Manager,3.0,Divorced,19094.0,10735.0,4.0,Y,No,11.0,3.0,4.0,80.0,1,26.0,3.0,2.0,14.0,13.0,4.0,8.0,No
32.0,Travel_Frequently,1125.0,Research & Development,16.0,1,Life Sciences,2.0,Female,72.0,1.0,1.0,Research Scientist,1.0,Single,3919.0,4681.0,1.0,Y,Yes,22.0,4.0,2.0,80.0,0,10.0,5.0,3.0,10.0,2.0,6.0,7.0,Yes
42.0,Travel_Rarely,691.0,Sales,8.0,4,Marketing,3.0,Male,48.0,3.0,2.0,Sales Executive,2.0,Married,6825.0,21173.0,0.0,Y,No,11.0,3.0,4.0,80.0,1,10.0,2.0,3.0,9.0,7.0,4.0,2.0,No
44.0,Travel_Rarely,477.0,Research & Development,7.0,4,Medical,1.0,Female,42.0,2.0,3.0,Healthcare Representative,4.0,Married,10248.0,2094.0,3.0,Y,No,14.0,3.0,4.0,80.0,1,24.0,4.0,3.0,22.0,6.0,5.0,17.0,No
46.0,Travel_Rarely,705.0,Sales,2.0,4,Marketing,2.0,Female,83.0,3.0,5.0,Manager,1.0,Single,18947.0,22822.0,3.0,Y,No,12.0,3.0,4.0,80.0,0,22.0,2.0,2.0,2.0,2.0,2.0,1.0,No
33.0,Travel_Rarely,924.0,Research & Development,2.0,3,Medical,3.0,Male,78.0,3.0,1.0,Laboratory Technician,4.0,Single,2496.0,6670.0,4.0,Y,No,11.0,3.0,4.0,80.0,0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,No
44.0,Travel_Rarely,1459.0,Research & Development,10.0,4,Other,4.0,Male,41.0,3.0,2.0,Healthcare Representative,4.0,Married,6465.0,19121.0,2.0,Y,Yes,13.0,3.0,4.0,80.0,0,9.0,5.0,4.0,4.0,2.0,1.0,3.0,No
30.0,Travel_Rarely,125.0,Research & Development,9.0,2,Medical,4.0,Male,83.0,2.0,1.0,Laboratory Technician,3.0,Single,2206.0,16117.0,1.0,Y,No,13.0,3.0,1.0,80.0,0,10.0,5.0,3.0,10.0,0.0,1.0,8.0,No
39.0,Travel_Rarely,895.0,Sales,5.0,3,Technical Degree,4.0,Male,56.0,3.0,2.0,Sales Representative,4.0,Married,2086.0,3335.0,3.0,Y,No,14.0,3.0,3.0,80.0,1,19.0,6.0,4.0,1.0,0.0,0.0,0.0,Yes
24.0,Travel_Rarely,813.0,Research & Development,1.0,3,Medical,2.0,Male,61.0,3.0,1.0,Research Scientist,4.0,Married,2293.0,3020.0,2.0,Y,Yes,16.0,3.0,1.0,80.0,1,6.0,2.0,2.0,2.0,0.0,2.0,0.0,Yes
43.0,Travel_Rarely,1273.0,Research & Development,2.0,2,Medical,4.0,Female,72.0,4.0,1.0,Research Scientist,3.0,Divorced,2645.0,21923.0,1.0,Y,No,12.0,3.0,4.0,80.0,2,6.0,3.0,2.0,5.0,3.0,1.0,4.0,No
50.0,Travel_Rarely,869.0,Sales,3.0,2,Marketing,1.0,Male,86.0,2.0,1.0,Sales Representative,3.0,Married,2683.0,3810.0,1.0,Y,Yes,14.0,3.0,3.0,80.0,0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,Yes
35.0,Travel_Rarely,890.0,Sales,2.0,3,Marketing,4.0,Female,97.0,3.0,1.0,Sales Representative,4.0,Married,2014.0,9687.0,1.0,Y,No,13.0,3.0,1.0,80.0,0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,No
36.0,Travel_Rarely,852.0,Research & Development,5.0,4,Life Sciences,2.0,Female,82.0,2.0,1.0,Research Scientist,1.0,Married,3419.0,13072.0,9.0,Y,Yes,14.0,3.0,4.0,80.0,1,6.0,3.0,4.0,1.0,1.0,0.0,0.0,No
33.0,Travel_Frequently,1141.0,Sales,1.0,3,Life Sciences,3.0,Female,42.0,4.0,2.0,Sales Executive,1.0,Married,5376.0,3193.0,2.0,Y,No,19.0,3.0,1.0,80.0,2,10.0,3.0,3.0,5.0,3.0,1.0,3.0,No
35.0,Travel_Rarely,464.0,Research & Development,4.0,2,Other,3.0,Male,75.0,3.0,1.0,Laboratory Technician,4.0,Divorced,1951.0,10910.0,1.0,Y,No,12.0,3.0,3.0,80.0,1,1.0,3.0,3.0,1.0,0.0,0.0,0.0,No
27.0,Travel_Rarely,1240.0,Research & Development,2.0,4,Life Sciences,4.0,Female,33.0,3.0,1.0,Laboratory Technician,1.0,Divorced,2341.0,19715.0,1.0,Y,No,13.0,3.0,4.0,80.0,1,1.0,6.0,3.0,1.0,0.0,0.0,0.0,No
26.0,Travel_Rarely,1357.0,Research & Development,25.0,3,Life Sciences,1.0,Male,48.0,1.0,1.0,Laboratory Technician,3.0,Single,2293.0,10558.0,1.0,Y,No,12.0,3.0,3.0,80.0,0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,Yes
27.0,Travel_Frequently,994.0,Sales,8.0,3,Life Sciences,4.0,Male,37.0,3.0,3.0,Sales Executive,3.0,Single,8726.0,2975.0,1.0,Y,No,15.0,3.0,4.0,80.0,0,9.0,0.0,3.0,9.0,8.0,1.0,7.0,No
30.0,Travel_Frequently,721.0,Research & Development,1.0,2,Medical,3.0,Female,58.0,3.0,2.0,Laboratory Technician,4.0,Single,4011.0,10781.0,1.0,Y,No,23.0,4.0,4.0,80.0,0,12.0,2.0,3.0,12.0,8.0,3.0,7.0,No
41.0,Travel_Rarely,1360.0,Research & Development,12.0,3,Technical Degree,2.0,Female,49.0,3.0,5.0,Research Director,3.0,Married,19545.0,16280.0,1.0,Y,No,12.0,3.0,4.0,80.0,0,23.0,0.0,3.0,22.0,15.0,15.0,8.0,Yes
34.0,Non-Travel,1065.0,Sales,23.0,4,Marketing,2.0,Male,72.0,3.0,2.0,Sales Executive,3.0,Single,4568.0,10034.0,0.0,Y,No,20.0,4.0,3.0,80.0,0,10.0,2.0,3.0,9.0,5.0,8.0,7.0,No
37.0,Travel_Rarely,408.0,Research & Development,19.0,2,Life Sciences,2.0,Male,73.0,3.0,1.0,Research Scientist,2.0,Married,3022.0,10227.0,4.0,Y,No,21.0,4.0,1.0,80.0,0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,No
46.0,Travel_Frequently,1211.0,Sales,5.0,4,Marketing,1.0,Male,98.0,3.0,2.0,Sales Executive,4.0,Single,5772.0,20445.0,4.0,Y,Yes,21.0,4.0,3.0,80.0,0,14.0,4.0,3.0,9.0,6.0,0.0,8.0,No
35.0,Travel_Rarely,1229.0,Research & Development,8.0,1,Life Sciences,4.0,Male,36.0,4.0,1.0,Laboratory Technician,4.0,Married,2269.0,4892.0,1.0,Y,No,19.0,3.0,4.0,80.0,0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,No
48.0,Travel_Rarely,626.0,Research & Development,1.0,2,Life Sciences,1.0,Male,98.0,2.0,3.0,Laboratory Technician,3.0,Single,5381.0,19294.0,9.0,Y,Yes,13.0,3.0,4.0,80.0,0,23.0,2.0,3.0,1.0,0.0,0.0,0.0,Yes
28.0,Travel_Rarely,1434.0,Research & Development,5.0,4,Technical Degree,3.0,Male,50.0,3.0,1.0,Laboratory Technician,3.0,Single,3441.0,11179.0,1.0,Y,Yes,13.0,3.0,3.0,80.0,0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Yes
44.0,Travel_Rarely,1488.0,Sales,1.0,5,Marketing,2.0,Female,75.0,3.0,2.0,Sales Executive,1.0,Divorced,5454.0,4009.0,5.0,Y,Yes,21.0,4.0,3.0,80.0,1,9.0,2.0,2.0,4.0,3.0,1.0,3.0,No
35.0,Non-Travel,1097.0,Research & Development,11.0,2,Medical,3.0,Male,79.0,2.0,3.0,Healthcare Representative,1.0,Married,9884.0,8302.0,2.0,Y,Yes,13.0,3.0,3.0,80.0,1,10.0,3.0,3.0,4.0,0.0,2.0,3.0,No
26.0,Travel_Rarely,1443.0,Sales,23.0,3,Marketing,3.0,Female,47.0,2.0,2.0,Sales Executive,4.0,Married,4157.0,21436.0,7.0,Y,Yes,19.0,3.0,3.0,80.0,1,5.0,2.0,2.0,2.0,2.0,0.0,0.0,No
33.0,Travel_Frequently,515.0,Research & Development,1.0,2,Life Sciences,1.0,Female,98.0,3.0,3.0,Research Director,4.0,Single,13458.0,15146.0,1.0,Y,Yes,12.0,3.0,3.0,80.0,0,15.0,1.0,3.0,15.0,14.0,8.0,12.0,No
35.0,Travel_Frequently,853.0,Sales,18.0,5,Life Sciences,2.0,Male,71.0,3.0,3.0,Sales Executive,1.0,Married,9069.0,11031.0,1.0,Y,No,22.0,4.0,4.0,80.0,1,9.0,3.0,2.0,9.0,8.0,1.0,8.0,No
35.0,Travel_Rarely,1142.0,Research & Development,23.0,4,Medical,3.0,Female,30.0,3.0,1.0,Laboratory Technician,1.0,Married,4014.0,16002.0,3.0,Y,Yes,15.0,3.0,3.0,80.0,1,4.0,3.0,3.0,2.0,2.0,2.0,2.0,No
31.0,Travel_Rarely,655.0,Research & Development,7.0,4,Life Sciences,4.0,Male,48.0,3.0,2.0,Laboratory Technician,4.0,Divorced,5915.0,9528.0,3.0,Y,No,22.0,4.0,4.0,80.0,1,10.0,3.0,2.0,7.0,7.0,1.0,7.0,No
37.0,Travel_Rarely,1115.0,Research & Development,1.0,4,Life Sciences,1.0,Male,51.0,2.0,2.0,Manufacturing Director,3.0,Divorced,5993.0,2689.0,1.0,Y,No,18.0,3.0,3.0,80.0,1,7.0,2.0,4.0,7.0,5.0,0.0,7.0,No
32.0,Travel_Rarely,427.0,Research & Development,1.0,3,Medical,1.0,Male,33.0,3.0,2.0,Manufacturing Director,4.0,Married,6162.0,10877.0,1.0,Y,Yes,22.0,4.0,2.0,80.0,1,9.0,3.0,3.0,9.0,8.0,7.0,8.0,No
38.0,Travel_Frequently,653.0,Research & Development,29.0,5,Life Sciences,4.0,Female,50.0,3.0,2.0,Laboratory Technician,4.0,Single,2406.0,5456.0,1.0,Y,No,11.0,3.0,4.0,80.0,0,10.0,2.0,3.0,10.0,3.0,9.0,9.0,No
50.0,Travel_Rarely,989.0,Research & Development,7.0,2,Medical,2.0,Female,43.0,2.0,5.0,Research Director,3.0,Divorced,18740.0,16701.0,5.0,Y,Yes,12.0,3.0,4.0,80.0,1,29.0,2.0,2.0,27.0,3.0,13.0,8.0,No
59.0,Travel_Rarely,1435.0,Sales,25.0,3,Life Sciences,1.0,Female,99.0,3.0,3.0,Sales Executive,1.0,Single,7637.0,2354.0,7.0,Y,No,11.0,3.0,4.0,80.0,0,28.0,3.0,2.0,21.0,16.0,7.0,9.0,No
36.0,Travel_Rarely,1223.0,Research & Development,8.0,3,Technical Degree,3.0,Female,59.0,3.0,3.0,Healthcare Representative,3.0,Divorced,10096.0,8202.0,1.0,Y,No,13.0,3.0,2.0,80.0,3,17.0,2.0,3.0,17.0,14.0,12.0,8.0,No
55.0,Travel_Rarely,836.0,Research & Development,8.0,3,Medical,4.0,Female,33.0,3.0,4.0,Manager,3.0,Divorced,14756.0,19730.0,2.0,Y,Yes,14.0,3.0,3.0,80.0,3,21.0,2.0,3.0,5.0,0.0,0.0,2.0,No
36.0,Travel_Frequently,1195.0,Research & Development,11.0,3,Life Sciences,2.0,Male,95.0,2.0,2.0,Manufacturing Director,2.0,Single,6499.0,22656.0,1.0,Y,No,13.0,3.0,3.0,80.0,0,6.0,3.0,3.0,6.0,5.0,0.0,3.0,No
45.0,Travel_Rarely,1339.0,Research & Development,7.0,3,Life Sciences,2.0,Male,59.0,3.0,3.0,Research Scientist,1.0,Divorced,9724.0,18787.0,2.0,Y,No,17.0,3.0,3.0,80.0,1,25.0,2.0,3.0,1.0,0.0,0.0,0.0,No
35.0,Travel_Frequently,664.0,Research & Development,1.0,3,Medical,2.0,Male,79.0,3.0,1.0,Research Scientist,1.0,Married,2194.0,5868.0,4.0,Y,No,13.0,3.0,4.0,80.0,1,5.0,2.0,2.0,3.0,2.0,1.0,2.0,No
36.0,Travel_Rarely,318.0,Research & Development,9.0,3,Medical,4.0,Male,79.0,2.0,1.0,Research Scientist,3.0,Married,3388.0,21777.0,0.0,Y,Yes,17.0,3.0,1.0,80.0,1,2.0,0.0,2.0,1.0,0.0,0.0,0.0,Yes
59.0,Travel_Frequently,1225.0,Sales,1.0,1,Life Sciences,1.0,Female,57.0,2.0,2.0,Sales Executive,3.0,Single,5473.0,24668.0,7.0,Y,No,11.0,3.0,4.0,80.0,0,20.0,2.0,2.0,4.0,3.0,1.0,3.0,No
29.0,Travel_Rarely,1328.0,Research & Development,2.0,3,Life Sciences,3.0,Male,76.0,3.0,1.0,Research Scientist,2.0,Married,2703.0,4956.0,0.0,Y,No,23.0,4.0,4.0,80.0,1,6.0,3.0,3.0,5.0,4.0,0.0,4.0,No
31.0,Travel_Rarely,1082.0,Research & Development,1.0,4,Medical,3.0,Male,87.0,3.0,1.0,Research Scientist,2.0,Single,2501.0,18775.0,1.0,Y,No,17.0,3.0,2.0,80.0,0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,No
32.0,Travel_Rarely,548.0,Research & Development,1.0,3,Life Sciences,2.0,Male,66.0,3.0,2.0,Research Scientist,2.0,Married,6220.0,7346.0,1.0,Y,No,17.0,3.0,2.0,80.0,2,10.0,3.0,3.0,10.0,4.0,0.0,9.0,No
36.0,Travel_Rarely,132.0,Research & Development,6.0,3,Life Sciences,2.0,Female,55.0,4.0,1.0,Laboratory Technician,4.0,Married,3038.0,22002.0,3.0,Y,No,12.0,3.0,2.0,80.0,0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,No
31.0,Travel_Rarely,746.0,Research & Development,8.0,4,Life Sciences,3.0,Female,61.0,3.0,2.0,Manufacturing Director,4.0,Single,4424.0,20682.0,1.0,Y,No,23.0,4.0,4.0,80.0,0,11.0,2.0,3.0,11.0,7.0,1.0,8.0,No
35.0,Travel_Rarely,776.0,Sales,1.0,4,Marketing,3.0,Male,32.0,2.0,2.0,Sales Executive,1.0,Single,4312.0,23016.0,0.0,Y,No,14.0,3.0,2.0,80.0,0,16.0,2.0,3.0,15.0,13.0,2.0,8.0,No
45.0,Travel_Rarely,193.0,Research & Development,6.0,4,Other,4.0,Male,52.0,3.0,3.0,Research Director,1.0,Married,13245.0,15067.0,4.0,Y,Yes,14.0,3.0,2.0,80.0,0,17.0,3.0,4.0,0.0,0.0,0.0,0.0,No
37.0,Travel_Rarely,397.0,Research & Development,7.0,4,Medical,1.0,Male,30.0,3.0,3.0,Research Director,3.0,Single,13664.0,25258.0,4.0,Y,No,13.0,3.0,1.0,80.0,0,16.0,3.0,4.0,5.0,2.0,0.0,2.0,No
46.0,Travel_Rarely,945.0,Human Resources,5.0,2,Medical,2.0,Male,80.0,3.0,2.0,Human Resources,2.0,Divorced,5021.0,10425.0,8.0,Y,Yes,22.0,4.0,4.0,80.0,1,16.0,2.0,3.0,4.0,2.0,0.0,2.0,No
30.0,Travel_Rarely,852.0,Research & Development,1.0,1,Life Sciences,4.0,Male,55.0,2.0,2.0,Laboratory Technician,4.0,Married,5126.0,15998.0,1.0,Y,Yes,12.0,3.0,3.0,80.0,2,10.0,1.0,2.0,10.0,8.0,3.0,0.0,No
35.0,Travel_Rarely,1214.0,Research & Development,1.0,3,Medical,2.0,Male,30.0,2.0,1.0,Research Scientist,3.0,Single,2859.0,26278.0,1.0,Y,No,18.0,3.0,1.0,80.0,0,6.0,3.0,3.0,6.0,4.0,0.0,4.0,No
55.0,Travel_Rarely,111.0,Sales,1.0,2,Life Sciences,1.0,Male,70.0,3.0,3.0,Sales Executive,4.0,Married,10239.0,18092.0,3.0,Y,No,14.0,3.0,4.0,80.0,1,24.0,4.0,3.0,1.0,0.0,1.0,0.0,No
38.0,Non-Travel,573.0,Research & Development,6.0,3,Medical,2.0,Female,79.0,1.0,2.0,Research Scientist,4.0,Divorced,5329.0,15717.0,7.0,Y,Yes,12.0,3.0,4.0,80.0,3,17.0,3.0,3.0,13.0,11.0,1.0,9.0,No
34.0,Travel_Rarely,1153.0,Research & Development,1.0,2,Medical,1.0,Male,94.0,3.0,2.0,Manufacturing Director,2.0,Married,4325.0,17736.0,1.0,Y,No,15.0,3.0,3.0,80.0,0,5.0,2.0,3.0,5.0,2.0,1.0,3.0,No
56.0,Travel_Rarely,1400.0,Research & Development,7.0,3,Life Sciences,4.0,Male,49.0,1.0,3.0,Manufacturing Director,4.0,Single,7260.0,21698.0,4.0,Y,No,11.0,3.0,1.0,80.0,0,37.0,3.0,2.0,6.0,4.0,0.0,2.0,No
23.0,Travel_Rarely,541.0,Sales,2.0,1,Technical Degree,3.0,Male,62.0,3.0,1.0,Sales Representative,1.0,Divorced,2322.0,9518.0,3.0,Y,No,13.0,3.0,3.0,80.0,1,3.0,3.0,3.0,0.0,0.0,0.0,0.0,No
51.0,Travel_Rarely,432.0,Research & Development,9.0,4,Life Sciences,4.0,Male,96.0,3.0,1.0,Laboratory Technician,4.0,Married,2075.0,18725.0,3.0,Y,No,23.0,4.0,2.0,80.0,2,10.0,4.0,3.0,4.0,2.0,0.0,3.0,No
30.0,Travel_Rarely,288.0,Research & Development,2.0,3,Life Sciences,3.0,Male,99.0,2.0,2.0,Healthcare Representative,4.0,Married,4152.0,15830.0,1.0,Y,No,19.0,3.0,1.0,80.0,3,11.0,3.0,3.0,11.0,10.0,10.0,8.0,No
46.0,Travel_Rarely,669.0,Sales,9.0,2,Medical,3.0,Male,64.0,2.0,3.0,Sales Executive,4.0,Single,9619.0,13596.0,1.0,Y,No,16.0,3.0,4.0,80.0,0,9.0,3.0,3.0,9.0,8.0,4.0,7.0,Yes
40.0,Travel_Frequently,530.0,Research & Development,1.0,4,Life Sciences,3.0,Male,78.0,2.0,4.0,Healthcare Representative,2.0,Married,13503.0,14115.0,1.0,Y,No,22.0,4.0,4.0,80.0,1,22.0,3.0,2.0,22.0,3.0,11.0,11.0,No
51.0,Travel_Rarely,632.0,Sales,21.0,4,Marketing,3.0,Male,71.0,3.0,2.0,Sales Executive,4.0,Single,5441.0,8423.0,0.0,Y,Yes,22.0,4.0,4.0,80.0,0,11.0,2.0,1.0,10.0,7.0,1.0,0.0,No
30.0,Travel_Rarely,1334.0,Sales,4.0,2,Medical,3.0,Female,63.0,2.0,2.0,Sales Executive,2.0,Divorced,5209.0,19760.0,1.0,Y,Yes,12.0,3.0,2.0,80.0,3,11.0,4.0,2.0,11.0,8.0,2.0,7.0,No
46.0,Travel_Frequently,638.0,Research & Development,1.0,3,Medical,3.0,Male,40.0,2.0,3.0,Healthcare Representative,1.0,Married,10673.0,3142.0,2.0,Y,Yes,13.0,3.0,3.0,80.0,1,21.0,5.0,2.0,10.0,9.0,9.0,5.0,No
32.0,Travel_Rarely,1093.0,Sales,6.0,4,Medical,2.0,Male,87.0,3.0,2.0,Sales Executive,3.0,Single,5010.0,24301.0,1.0,Y,No,16.0,3.0,1.0,80.0,0,12.0,0.0,3.0,11.0,8.0,5.0,7.0,No
54.0,Travel_Rarely,1217.0,Research & Development,2.0,4,Technical Degree,1.0,Female,60.0,3.0,3.0,Research Director,3.0,Married,13549.0,24001.0,9.0,Y,No,12.0,3.0,1.0,80.0,1,16.0,5.0,1.0,4.0,3.0,0.0,3.0,No
